Stock,"Market Cap","Current Price","High / Low","Stock P/E","Book Value","Dividend Yield",ROCE,ROE,"Face Value"
DEVYANI,"19,294",160,228,128,9.73,0.00,15.5,24.1,1.00
TCS,"14,47,235","4,000","4,185",33.9,232,1.18,64.2,51.5,1.00
INFY,"6,86,935","1,655","1,733",27.8,174,2.04,43.8,34.0,5.00
TANLA,"13,309",990,"1,318",151,43.4,1.00,31.0,27.5,1.00
TIINDIA,"69,581","3,598","4,125",91.5,186,0.10,27.6,23.4,1.00
3MINDIA,"34,347","30,477","39,876",68.9,"1,852",0.33,25.3,18.8,10.0
LODHA,"1,07,953","1,119","1,228",70.3,133,0.09,8.03,-0.83,10.0
DEEPAKNTR,"31,377","2,300","2,521",75.0,203,0.33,24.4,18.9,2.00
WHIRLPOOL,"16,039","1,264","1,733",101,247,0.39,8.22,6.08,10.0
RAILTEL,"13,414",418,459,61.7,53.7,0.61,16.0,12.0,10.0
NESCO,"6,236",885,934,18.2,298,0.51,21.8,16.7,2.00
TATAMETALI,"3,507","1,111","1,131",30.8,510,0.45,7.91,5.18,10.0
BAJAJCON,"3,453",242,263,21.3,58.4,2.06,20.3,16.8,1.00
WELSPUNLIV,"15,695",162,172,31.7,37.2,0.06,5.99,4.13,1.00
MOIL,"5,668",279,370,20.1,116,1.31,14.7,11.0,10.0
J&KBANK,"15,582",142,152,9.69,96.4,0.35,4.92,13.3,1.00
AUROPHARMA,"60,393","1,031","1,177",30.7,319,0.43,8.34,6.97,1.00
TATAELXSI,"48,059","7,717","9,200",60.4,337,0.78,47.7,41.1,10.0
SAKSOFT,"2,905",274,402,88.6,18.0,0.25,21.0,17.1,1.00
DIXON,"41,566","6,948","7,038",201,211,0.04,24.2,20.4,2.00
GSPL,"20,941",371,407,16.8,173,1.35,13.8,10.7,10.0
HOMEFIRST,"8,227",930,"1,061",28.8,220,0.27,10.3,13.5,2.00
NATCOPHARM,"18,310","1,022","1,108",15.1,284,0.93,16.1,14.0,2.00
GMMPFAUDLR,"6,026","1,340","1,898",77.6,164,0.15,17.1,14.7,2.00
HARSHA,"3,887",427,494,30.8,130,0.24,17.7,15.1,10.0
